Unnamed: 0,행정구역 코드,행정기관 코드,법정동 코드,랜드마크,영화관,쇼핑센터,대형마트,백화점,지하철,차선수,순환도로,한강,공원,산,학교,교육특구,대학병원
0,1121052,1162052500,1162010100,0,0,0,0,1,0,8,0,0,1,0,3,0,0
1,1121054,1162054500,1162010100,0,0,0,0,0,0,8,0,0,0,0,1,0,0
2,1121079,1162056500,1162010100,0,0,0,1,0,0,8,0,0,2,0,4,0,0
3,1121057,1162057500,1162010100,0,0,0,1,0,2,10,0,0,1,0,4,0,0
4,1121058,1162058500,1162010100,0,0,0,0,0,1,10,1,0,1,1,2,0,0
5,1121080,1162059500,1162010100,0,1,0,1,0,2,8,1,0,1,1,8,0,0
6,1121078,1162060500,1162010100,0,0,0,2,0,1,10,0,0,1,0,2,0,0
7,1121061,1162061500,1162010100,0,0,0,0,0,1,8,0,0,0,0,1,0,0
8,1121062,1162062500,1162010100,0,0,0,1,0,1,10,1,0,0,1,2,0,0
9,1121063,1162063000,1162010300,0,0,0,0,0,2,10,1,0,1,1,1,0,0
10,1121064,1162064500,1162010200,0,0,0,0,0,1,8,0,0,1,0,1,0,0
11,1121065,1162065500,1162010200,0,0,2,0,0,0,8,0,0,1,0,1,0,0
12,1121066,1162066500,1162010200,0,0,0,2,0,0,4,1,0,0,1,2,0,0
13,1121068,1162068500,1162010200,0,0,1,2,0,1,8,0,0,0,0,1,0,0
14,1121069,1162069500,1162010200,0,1,2,2,0,2,10,1,0,4,2,29,0,0
15,1121071,1162071500,1162010200,0,0,0,3,0,0,4,0,0,3,0,2,0,0
16,1121072,1162072500,1162010200,0,0,1,1,0,1,4,0,0,0,0,1,0,0
17,1121073,1162073500,1162010200,0,0,0,0,0,0,6,1,0,1,1,6,0,0
18,1121082,1162074500,1162010200,0,0,2,1,0,0,4,1,0,1,1,4,0,0
19,1121083,1162076500,1162010200,0,0,0,0,0,0,4,0,0,3,0,8,0,0
20,1121081,1162077500,1162010200,0,0,1,0,0,0,6,0,0,3,0,4,0,0
21,1118051,1154551000,1154510100,0,1,0,0,3,3,10,1,0,0,0,0,0,0
22,1118052,1154561000,1154510200,0,1,0,2,0,1,12,1,0,0,0,4,0,0
23,1118053,1154562000,1154510200,0,0,0,1,0,0,4,0,0,6,0,2,0,0
24,1118054,1154563000,1154510200,0,0,0,0,0,0,4,0,0,4,0,6,0,0
25,1118055,1154564000,1154510200,0,0,0,1,0,0,6,0,0,2,0,1,0,0
26,1118057,1154567000,1154510300,0,0,2,2,0,1,14,1,0,1,0,4,0,0
27,1118058,1154568000,1154510300,0,0,1,0,0,0,6,1,0,1,1,6,0,0
28,1118059,1154569000,1154510300,0,0,2,1,0,0,10,1,0,0,0,5,0,0
29,1118060,1154570000,1154510300,0,0,0,0,0,0,4,0,0,5,0,2,0,0
30,1118061,1154571000,1154510300,0,0,0,1,0,0,4,1,0,1,1,2,0,0
31,1120072,1159051000,1159010100,0,0,0,0,0,3,10,1,2,6,0,4,0,0
32,1120072,1159051000,1159010400,0,0,0,0,0,3,10,1,2,6,0,4,0,0
33,1120052,1159052000,1159010100,0,0,1,3,0,2,10,0,1,0,0,0,0,0
34,1120053,1159053000,1159010200,0,0,0,0,0,1,8,0,1,0,0,1,0,0
